Date,Equity,Cash,Positions
2018-10-05,944304.05,581408.82,5
2018-10-08,944190.28,581408.82,5
2018-10-09,938425.1,612146.65,4
2018-10-10,946963.12,612146.65,4
2018-10-11,941504.88,612146.65,4
2018-10-12,951178.49,612146.65,4
2018-10-15,948912.52,612146.65,4
2018-10-16,953943.34,612146.65,4
2018-10-17,949037.25,612146.65,4
2018-10-18,949037.25,612146.65,4
2018-10-19,946022.84,612146.65,4
2018-10-22,944187.14,612146.65,4
2018-10-23,937907.46,612146.65,4
2018-10-24,943888.46,612146.65,4
2018-10-25,947078.68,612146.65,4
2018-10-26,946042.01,612146.65,4
2018-10-29,953558.51,612146.65,4
2018-10-30,951163.02,612146.65,4
2018-10-31,957628.28,612146.65,4
2018-11-01,956897.38,612146.65,4
2018-11-02,959341.44,706277.94,3
2018-11-05,959692.17,706277.94,3
2018-11-06,959194.69,706277.94,3
2018-11-07,960339.75,706277.94,3
2018-11-08,960339.75,706277.94,3
2018-11-09,961872.5,706277.94,3
2018-11-12,959311.24,706277.94,3
2018-11-13,959121.5,706277.94,3
2018-11-14,960571.78,706277.94,3
2018-11-15,961759.65,706277.94,3
2018-11-16,964851.96,706277.94,3
2018-11-19,959627.48,706277.94,3
2018-11-20,957213.82,706277.94,3
2018-11-21,955865.74,706277.94,3
2018-11-22,954737.96,706277.94,3
2018-11-23,954737.96,706277.94,3
2018-11-26,958132.32,706277.94,3
2018-11-27,962749.85,706277.94,3
2018-11-28,964659.32,706277.94,3
2018-11-29,963918.85,706277.94,3
2018-11-30,971094.42,706277.94,3
2018-12-03,973100.16,706277.94,3
2018-12-04,970568.49,706277.94,3
2018-12-05,968291.49,706277.94,3
2018-12-06,964555.33,706277.94,3
2018-12-07,968018.05,706277.94,3
2018-12-10,962852.27,706277.94,3
2018-12-11,972141.68,706277.94,3
2018-12-12,977004.9,706277.94,3
2018-12-13,979687.12,706277.94,3
2018-12-14,980061.54,706277.94,3
2018-12-17,982400.46,706277.94,3
2018-12-18,981852.14,706277.94,3
2018-12-19,985376.55,706277.94,3
2018-12-20,985074.99,706277.94,3
2018-12-21,983559.04,706277.94,3
2018-12-24,981266.52,706277.94,3
2018-12-26,977833.4,706277.94,3
2018-12-27,983737.77,706277.94,3
2018-12-28,988700.59,706277.94,3
2018-12-31,986208.48,706277.94,3
2019-01-01,984414.78,706277.94,3
2019-01-02,983059.6,706277.94,3
2019-01-03,985473.91,706277.94,3
2019-01-04,981543.39,706277.94,3
2019-01-07,981774.79,706277.94,3
2019-01-08,985186.48,706277.94,3
2019-01-09,990265.51,706277.94,3
2019-01-10,994472.0,706277.94,3
2019-01-11,991523.68,706277.94,3
2019-01-14,991978.94,706277.94,3
2019-01-15,993244.7,706277.94,3
2019-01-16,990526.27,706277.94,3
2019-01-17,990016.86,706277.94,3
2019-01-18,991532.91,706277.94,3
2019-01-21,990507.62,706277.94,3
2019-01-22,990574.56,706277.94,3
2019-01-23,993032.47,706277.94,3
2019-01-24,993422.02,706277.94,3
2019-01-25,989090.23,706277.94,3
2019-01-28,985882.48,706277.94,3
2019-01-29,987199.51,706277.94,3
2019-01-30,987038.78,706277.94,3
2019-01-31,989807.71,706277.94,3
2019-02-01,993342.9,706277.94,3
2019-02-04,998145.83,706277.94,3
2019-02-05,998065.7,706277.94,3
2019-02-06,1000743.49,706277.94,3
2019-02-07,1001409.0,706277.94,3
2019-02-08,994960.74,706277.94,3
2019-02-11,989740.4,706277.94,3
2019-02-12,989261.73,706277.94,3
2019-02-13,989261.73,706277.94,3
2019-02-14,995068.22,706277.94,3
2019-02-15,993459.39,706277.94,3
2019-02-18,992385.76,706277.94,3
2019-02-19,994208.97,706277.94,3
2019-02-20,994919.19,706277.94,3
2019-02-21,997726.1,706277.94,3
2019-02-22,1001997.91,706277.94,3
2019-02-25,1003891.9,706277.94,3
2019-02-26,1003457.33,706277.94,3
2019-02-27,1000851.75,706277.94,3
2019-02-28,998862.59,706277.94,3
2019-03-01,995417.67,706277.94,3
2019-03-04,995417.67,706277.94,3
2019-03-05,998969.5,706277.94,3
2019-03-06,1001334.41,706277.94,3
2019-03-07,1000310.06,706277.94,3
2019-03-08,996639.24,706277.94,3
2019-03-11,1000433.68,706277.94,3
2019-03-12,1005706.88,706277.94,3
2019-03-13,1006490.55,706277.94,3
2019-03-14,1009088.65,706277.94,3
2019-03-15,1004765.15,706277.94,3
2019-03-18,1000353.42,506508.91,5
2019-03-19,1003718.77,506508.91,5
2019-03-20,997511.64,506508.91,5
2019-03-21,997511.64,506508.91,5
2019-03-22,995809.56,506508.91,5
